id,name,city,locality,cuisines,avg_cost_for_two,capacity,features,rating
1021,Fork Table 1,Bengaluru,Whitefield,"North Indian, South Indian",600,8,"outdoor seating, rooftop",3.4
1022,Spice Bistro 2,Bengaluru,Whitefield,"Cafe, Mexican, South Indian",2000,4,"family, non-veg",4.5
1023,Coastal Alley 3,Bengaluru,Whitefield,"Chinese, Hyderabadi, Italian",600,4,"buffet, rooftop",4.7
1024,Royal Corner 1,Bengaluru,HSR Layout,"Andhra, Bakery, Mughlai",1500,12,"non-veg, rooftop",3.4
1025,Urban Kitchen 2,Bengaluru,HSR Layout,"Biryani, North Indian",400,12,rooftop,3.6
1026,Spice Kitchen 3,Bengaluru,HSR Layout,"Bakery, Continental, North Indian",1200,4,veg-friendly,4.0
1027,Garden Kitchen 1,Bengaluru,MG Road,"Bakery, Continental, Italian",600,2,"family, rooftop",3.5
1028,Fork Point 2,Bengaluru,MG Road,"BBQ, Continental",1000,10,"fine dining, rooftop",3.3
1029,Tandoori Kitchen 3,Bengaluru,MG Road,"Mexican, Mughlai, Seafood",2000,10,"casual, veg-friendly",3.1
1030,Tandoori Hub 1,Mumbai,Bandra,"Cafe, Mughlai",2000,2,rooftop,4.5
1031,Urban Bistro 2,Mumbai,Bandra,"Andhra, Chinese, Seafood",1000,6,outdoor seating,3.4
1032,Flame Bistro 3,Mumbai,Bandra,Andhra,800,6,veg-friendly,4.5
1033,Bowl Hub 1,Mumbai,Andheri,Mexican,1200,4,family,3.7
1034,Fusion Alley 2,Mumbai,Andheri,"Continental, Thai",400,8,"family, veg-friendly",4.6
1035,Fusion Hub 3,Mumbai,Andheri,"BBQ, Italian",1000,4,"fine dining, outdoor seating",3.2
1036,Bowl Alley 1,Mumbai,Lower Parel,Continental,2000,12,"rooftop, veg-friendly",3.6
1037,Fork Platter 2,Mumbai,Lower Parel,Cafe,800,8,"buffet, veg-friendly",4.2
1038,Fork Alley 3,Mumbai,Lower Parel,"Hyderabadi, Mexican, Thai",800,6,veg-friendly,3.9
1039,Bowl Kitchen 1,Mumbai,Powai,South Indian,1200,12,rooftop,4.6
1040,Fusion Kitchen 2,Mumbai,Powai,"Biryani, Continental, Thai",1200,4,non-veg,3.4
1041,Fusion Point 3,Mumbai,Powai,"Hyderabadi, Italian, Mughlai",1500,6,live music,4.0
1042,Urban Grill 1,Mumbai,Fort,"Bakery, Chinese",2000,4,"casual, live music",3.0
1043,Tandoori Hub 2,Mumbai,Fort,"Biryani, Mexican",1200,6,non-veg,3.1
1044,Bowl Bistro 3,Mumbai,Fort,"Chinese, Italian, Mughlai",2000,2,rooftop,3.6
1045,Garden Grill 1,Chennai,T Nagar,Andhra,1000,12,"buffet, veg-friendly",3.3
1046,Bowl Grill 2,Chennai,T Nagar,"Chinese, Italian, South Indian",2000,10,non-veg,4.0
1047,Bowl House 3,Chennai,T Nagar,"Biryani, Italian",1200,8,live music,4.8
1048,Urban Grill 1,Chennai,Velachery,"Andhra, Italian, North Indian",2000,6,fine dining,4.3
1049,Royal Hub 2,Chennai,Velachery,Mughlai,1000,4,outdoor seating,4.2
1050,Coastal Alley 3,Chennai,Velachery,"Cafe, Hyderabadi, Seafood",1500,2,non-veg,3.2
1051,Tandoori House 1,Chennai,Anna Nagar,"Mughlai, North Indian, Thai",1000,8,fine dining,3.4
1052,Coastal Hub 2,Chennai,Anna Nagar,"BBQ, Mughlai",1000,12,live music,4.7
1053,Urban Bistro 3,Chennai,Anna Nagar,"BBQ, Mughlai, South Indian",600,8,"family, rooftop",3.7
1054,Coastal House 1,Chennai,Adyar,"Chinese, North Indian",1500,2,"fine dining, rooftop",3.5
1055,Royal House 2,Chennai,Adyar,"North Indian, Seafood, South Indian",800,12,"buffet, rooftop",3.0
1056,Flame Table 3,Chennai,Adyar,"BBQ, Thai",1200,2,rooftop,3.6
1057,Spice Bistro 1,Chennai,Nungambakkam,"Italian, Mughlai",1500,6,outdoor seating,3.8
1058,Garden Platter 2,Chennai,Nungambakkam,"Bakery, Thai",1200,2,"non-veg, veg-friendly",3.2
1059,Royal House 3,Chennai,Nungambakkam,"Italian, North Indian, South Indian",1000,6,"buffet, live music",3.6
